2023-11-07 17:44:48.053 | DEBUG    | __main__:task:259 - Inserting WayUp:Americold Logistics, Infrastructure Cloud Engineer Intern - Application via WayUp to job_listings table
2023-11-07 17:44:48.057 | DEBUG    | __main__:insert_job_listing:78 - Inserted WayUp:Americold Logistics, Infrastructure Cloud Engineer Intern - Application via WayUp to job_listings table
2023-11-07 17:44:48.057 | DEBUG    | __main__:task:259 - Inserting McCormick & Company:Engineering Intern Summer 2024 to job_listings table
2023-11-07 17:44:48.059 | DEBUG    | __main__:insert_job_listing:78 - Inserted McCormick & Company:Engineering Intern Summer 2024 to job_listings table
2023-11-07 17:44:48.059 | DEBUG    | __main__:task:259 - Inserting GHD:Mechanical Facilities Engineering Intern to job_listings table
2023-11-07 17:44:48.061 | DEBUG    | __main__:insert_job_listing:78 - Inserted GHD:Mechanical Facilities Engineering Intern to job_listings table
2023-11-07 17:44:48.061 | DEBUG    | __main__:task:259 - Inserting Joby Aviation:Electrical Engineer - Intern to job_listings table
2023-11-07 17:44:48.070 | DEBUG    | __main__:insert_job_listing:78 - Inserted Joby Aviation:Electrical Engineer - Intern to job_listings table
2023-11-07 17:44:48.072 | DEBUG    | __main__:task:285 - Sending email notification
2023-11-07 17:44:48.558 | ERROR    | __main__:send_email_notification:131 - Error sending email
